ID,Agente,Inizio,Scadenza,Importo,Descrizione
1,Allianz,20/02/2026,16/03/2026,23.16,Assicurazione bagagli normali
2,UnipolSai,19/04/2026,11/05/2026,121.36,Assicurazione bagagli PRO
3,Groupama,13/08/2026,22/08/2026,100.11,Assicurazione bagagli normali
4,Allianz,12/04/2026,07/05/2026,127.13,Assicurazione bagagli PRO
5,Allianz,04/04/2026,19/04/2026,17.50,Assicurazione bagaglio a mano
6,Reale Mutua,08/05/2026,20/05/2026,21.54,Assicurazione bagagli PRO
7,Vittoria Assicurazioni,09/02/2026,20/02/2026,97.92,Assicurazione bagagli normali
8,Zurich,03/08/2026,12/08/2026,29.61,Assicurazione bagagli PRO
9,Vittoria Assicurazioni,08/10/2026,15/10/2026,82.66,Assicurazione bagaglio a mano
10,Reale Mutua,26/01/2026,07/02/2026,48.99,Assicurazione bagagli normali
