ID,Peso,Entità,Fragile,Descrizione,IDPrenotazione,IDAssicurazione
1,11.0,a mano,False,Custodia per strumenti musicali piccolo,66,6
2,32.0,stiva,True,Attrezzatura sportiva,41,8
3,30.0,stiva,True,Valigia grande rigida,127,5
4,10.0,a mano,False,Borsone compatto,152,3
5,23.0,stiva,False,Valigia media morbida,149,2
6,23.0,stiva,False,Attrezzatura sportiva,187,4
7,5.0,a mano,True,Borsone compatto,200,8
8,10.0,a mano,False,Borsone compatto,14,8
9,10.0,a mano,False,Borsa a tracolla,88,1
10,5.0,a mano,True,Trolley piccolo,94,2
11,28.0,stiva,True,Valigia grande rigida,195,1
12,6.0,a mano,False,Ventiquattrore,45,6
13,32.0,stiva,True,Pacco imballato,131,10
14,25.0,stiva,True,Trolley grande,131,4
15,18.5,stiva,True,Valigia grande rigida,24,6
16,7.5,a mano,False,Ventiquattrore,77,9
17,15.0,stiva,True,Valigia media morbida,80,6
18,5.0,a mano,True,Zaino da trekking piccolo,16,2
19,8.0,a mano,True,Borsone compatto,49,6
20,22.5,stiva,False,Valigia da stiva classica,14,8
21,18.5,stiva,False,Valigia da stiva classica,189,5
22,32.0,stiva,True,Attrezzatura sportiva,200,2
23,22.5,stiva,True,Pacco imballato,119,7
24,8.0,a mano,False,Trolley piccolo,55,7
25,7.5,a mano,False,Borsa a tracolla,40,9
26,10.0,a mano,False,Zaino da trekking piccolo,42,8
27,23.0,stiva,True,Borsone da viaggio grande,88,5
28,22.5,stiva,False,Trolley grande,158,8
29,23.0,stiva,False,Trolley grande,171,2
30,10.0,a mano,False,Trolley piccolo,153,8
31,30.0,stiva,False,Attrezzatura sportiva,12,1
32,9.5,a mano,False,Trolley piccolo,129,4
33,10.0,a mano,False,Custodia per strumenti musicali piccolo,17,8
34,23.0,stiva,True,Valigia media morbida,165,9
35,11.0,a mano,False,Zaino da trekking piccolo,4,4
36,7.5,a mano,False,Zaino porta PC,196,5
37,5.0,a mano,False,Borsone compatto,41,2
38,9.5,a mano,False,Custodia per strumenti musicali piccolo,173,8
39,7.5,a mano,False,Trolley piccolo,118,3
40,9.5,a mano,False,Zaino da trekking piccolo,7,2
41,32.0,stiva,False,Valigia media morbida,130,10
42,7.5,a mano,False,Borsa a tracolla,20,6
43,9.5,a mano,False,Borsone compatto,52,9
44,9.5,a mano,False,Zaino porta PC,69,1
45,25.0,stiva,True,Trolley grande,88,10
46,25.0,stiva,True,Trolley grande,128,6
47,11.0,a mano,False,Custodia per strumenti musicali piccolo,45,2
48,28.0,stiva,False,Valigia media morbida,193,2
49,22.5,stiva,False,Pacco imballato,78,7
50,32.0,stiva,True,Trolley grande,154,3
51,20.0,stiva,False,Valigia grande rigida,51,2
52,7.5,a mano,False,Ventiquattrore,195,3
53,5.0,a mano,False,Borsa a tracolla,122,4
54,28.0,stiva,False,Valigia grande rigida,52,9
55,6.0,a mano,False,Custodia per strumenti musicali piccolo,32,1
56,30.0,stiva,True,Borsone da viaggio grande,143,8
57,28.0,stiva,False,Valigia da stiva classica,41,1
58,32.0,stiva,True,Borsone da viaggio grande,111,2
59,23.0,stiva,False,Valigia media morbida,175,2
60,6.0,a mano,False,Trolley piccolo,111,6
61,10.0,a mano,False,Custodia per strumenti musicali piccolo,35,9
62,8.0,a mano,False,Zaino da trekking piccolo,10,5
63,15.0,stiva,True,Borsone da viaggio grande,154,5
64,25.0,stiva,False,Valigia da stiva classica,182,5
65,8.0,a mano,True,Borsone compatto,97,8
66,18.5,stiva,True,Valigia da stiva classica,8,2
67,18.5,stiva,True,Borsone da viaggio grande,55,10
68,18.5,stiva,False,Pacco imballato,154,10
69,22.5,stiva,False,Valigia media morbida,179,4
70,32.0,stiva,False,Valigia da stiva classica,161,9
71,6.0,a mano,False,Borsa a tracolla,137,5
72,23.0,stiva,False,Valigia grande rigida,174,1
73,23.0,stiva,False,Valigia media morbida,152,6
74,22.5,stiva,False,Trolley grande,68,8
75,32.0,stiva,True,Trolley grande,196,2
76,25.0,stiva,False,Attrezzatura sportiva,198,10
77,25.0,stiva,False,Valigia media morbida,14,3
78,10.0,a mano,False,Borsone compatto,46,5
79,6.0,a mano,False,Ventiquattrore,56,2
80,20.0,stiva,False,Valigia da stiva classica,140,8
81,9.5,a mano,False,Borsone compatto,78,9
82,10.0,a mano,False,Borsa a tracolla,91,7
83,18.5,stiva,False,Attrezzatura sportiva,33,1
84,10.0,a mano,False,Trolley piccolo,146,3
85,18.5,stiva,True,Pacco imballato,160,3
86,8.0,a mano,False,Zaino porta PC,21,5
87,23.0,stiva,False,Valigia da stiva classica,198,9
88,23.0,stiva,True,Attrezzatura sportiva,167,9
89,25.0,stiva,True,Valigia grande rigida,170,9
90,23.0,stiva,False,Attrezzatura sportiva,67,10
91,20.0,stiva,False,Attrezzatura sportiva,152,1
92,8.0,a mano,False,Zaino da trekking piccolo,134,1
93,18.5,stiva,True,Borsone da viaggio grande,13,2
94,25.0,stiva,False,Valigia grande rigida,22,2
