Nome,Paese,Fondazione
Cathay Pacific,HK,1946
Avianca,CO,1919
Singapore Airlines,SG,1972
Emirates,AE,1985
Aeroméxico,MX,1934
Qatar Airways,QA,1993
Korean Air,KR,1969
Thai Airways,TH,1960
Iberia,ES,1927
Air India,IN,1932
American Airlines,US,1926
SAS Scandinavian,SE,1946
Qantas,AU,1920
Air New Zealand,NZ,1940
Air France,FR,1933
Delta Air Lines,US,1924
Southwest Airlines,US,1967
LATAM Airlines,CL,1929
United Airlines,US,1926
Air Canada,CA,1937
Alitalia,IT,1946
Lufthansa,DE,1953
KLM Royal Dutch Airlines,NL,1919
South African Airways,ZA,1934
British Airways,GB,1974
