ID,Data,Posto,IDPasseggero,IDVolo
1,07/02/2024,134,48,IO8118
2,31/10/2024,288,67,HY1172
3,22/04/2024,80,27,AH5785
4,11/05/2024,216,115,GY5193
5,13/09/2024,290,9,VG4132
6,21/07/2024,309,36,EH998
7,20/06/2024,322,186,TJ6772
8,18/04/2024,253,121,RW7492
9,02/01/2024,231,187,QV8233
10,29/11/2024,4,53,BF2588
11,02/01/2024,33,24,XD1691
12,11/05/2024,135,59,VM5676
13,16/10/2024,237,165,QT8610
14,24/03/2024,41,144,VG4132
15,21/08/2024,82,199,HU2926
16,01/12/2024,242,136,HU2926
17,16/01/2024,91,133,AC4688
18,01/11/2024,10,3,PM6010
19,08/01/2024,31,172,JM3473
20,03/05/2024,82,84,KD5680
21,18/04/2024,131,163,MU5214
22,27/10/2024,247,170,EM3249
23,09/12/2024,274,137,KM4057
24,10/07/2024,43,146,ZN6785
25,05/04/2024,166,70,KY7592
26,08/04/2024,264,184,MO4361
27,11/06/2024,273,100,UY420
28,04/02/2024,23,178,SD5860
29,14/07/2024,277,134,LN3648
30,15/02/2024,329,163,OD4574
31,09/05/2024,244,35,CS3657
32,18/02/2024,271,160,WT7351
33,17/09/2024,142,195,FB3310
34,22/09/2024,71,184,ML7225
35,13/03/2024,273,48,CN6226
36,28/10/2024,328,187,SI7575
37,04/12/2024,212,97,HY1172
38,23/05/2024,280,158,RM8748
39,24/10/2024,178,145,WI1805
40,22/09/2024,10,114,XI6717
41,30/03/2024,133,3,WL667
42,28/10/2024,309,35,XA8648
43,12/12/2024,252,123,QZ6729
44,26/06/2024,108,31,IV1748
45,28/08/2024,232,160,VF9731
46,25/02/2024,258,54,KC5511
47,13/11/2024,116,34,IP8933
48,09/05/2024,217,183,PF3016
49,17/09/2024,202,172,DX6939
50,13/11/2024,74,36,GD2040
51,29/12/2024,9,133,RW7908
52,10/06/2024,186,108,II9914
53,20/03/2024,265,35,FV6888
54,30/10/2024,197,114,BY7735
55,16/12/2024,56,86,ML7225
56,11/04/2024,89,159,PP1890
57,04/11/2024,304,154,VF9731
58,10/09/2024,96,98,ZZ7068
59,28/03/2024,225,176,AC4688
60,10/11/2024,37,155,FJ2952
61,18/06/2024,236,35,HN9064
62,23/04/2024,46,35,YP4452
63,31/03/2024,23,59,EQ2175
64,01/07/2024,44,32,WF1213
65,31/01/2024,144,61,JM3473
66,08/09/2024,116,5,VF9731
67,15/04/2024,287,116,KX640
68,23/10/2024,244,120,IO8118
69,02/03/2024,80,83,BM180
70,18/11/2024,331,129,WM9467
71,09/07/2024,171,157,UO5849
72,26/08/2024,130,41,JP2081
73,07/04/2024,71,160,IP8933
74,30/08/2024,297,27,XD1691
75,27/11/2024,185,13,WK8566
76,01/02/2024,211,21,KA949
77,23/08/2024,114,80,YQ3753
78,24/11/2024,72,187,MB116
79,04/07/2024,144,176,MB116
80,06/07/2024,208,130,KA949
81,23/12/2024,345,67,BW9525
82,01/07/2024,218,148,QU3327
83,22/09/2024,305,31,EH4801
84,01/03/2024,21,141,KD6703
85,21/05/2024,109,40,GY5193
86,23/06/2024,4,19,AN5424
87,08/08/2024,343,89,NC2491
88,19/09/2024,185,136,MF2443
89,30/06/2024,99,146,VF9731
90,10/12/2024,61,189,OD4574
91,03/03/2024,50,97,EH998
92,24/03/2024,84,117,MN4479
93,18/12/2024,264,111,IP8933
94,17/04/2024,287,2,ZK7766
95,07/02/2024,217,153,NY8182
96,01/01/2024,19,172,EH998
97,29/03/2024,315,27,KC5511
98,05/09/2024,78,165,JJ3620
99,10/09/2024,171,2,OS5278
100,30/10/2024,85,64,OJ8143
101,18/02/2024,213,61,FB3310
