ID,DataP,DataA,Prezzo,Intercontinentale,IATAP,IATAA
PC4428,8/2/2024,8/2/2024,578.11,True,LAX,PSA
W65967,9/3/2025,9/3/2025,1024.87,True,VIE,SOF
FR7639,6/9/2023,6/9/2023,98.83,True,AMS,NRT
OS2762,28/05/2024,28/05/2024,1070.01,False,NRT,VCE
VY3520,5/10/2024,5/10/2024,325.48,True,ORY,HAM
IB2642,7/10/2023,7/10/2023,679.94,False,IAH,LHR
QR9039,11/3/2023,11/3/2023,681.12,False,ORY,ESB
IB360,10/2/2025,10/2/2025,408.69,True,YYZ,HKG
U27841,18/07/2023,18/07/2023,881.22,False,LIN,ZRH
EK8551,15/05/2024,15/05/2024,840.55,True,DOH,LED
SK9006,14/05/2024,14/05/2024,1028.92,False,BRU,LGW
W67742,28/11/2024,28/11/2024,635.56,True,VLC,DUB
U28478,23/03/2025,23/03/2025,600.53,False,MEL,BRU
W68130,4/3/2023,4/3/2023,148.93,True,ORD,YYZ
AZ9571,28/01/2025,28/01/2025,352.73,False,MUC,BCN
AZ2912,8/6/2024,8/6/2024,1055.44,False,BCN,VCE
U22348,19/10/2023,19/10/2023,410.72,False,MAN,PSA
PC413,11/2/2024,11/2/2024,56.9,False,SEA,ORD
AY8613,29/10/2024,29/10/2024,1015.93,True,MXP,PEK
BA110,9/12/2023,9/12/2023,1198.02,True,IST,SIN
VY8865,24/03/2023,24/03/2023,657,False,MEL,MXP
TK5338,27/09/2024,27/09/2024,1208.38,False,CMB,DXB
PC5964,13/01/2024,13/01/2024,695.85,False,MAN,FCO
VY5387,25/02/2024,25/02/2024,474.6,False,MUC,MRS
OS9074,17/06/2023,17/06/2023,1164.65,True,TXL,OSL
AF146,5/12/2024,5/12/2024,712,False,YYZ,LHR
W62920,22/11/2023,22/11/2023,36.59,True,DOH,ORY
FR8910,10/7/2024,10/7/2024,317.28,True,DFW,CDG
AY8549,26/11/2024,26/11/2024,197.13,False,DFW,HAM
QR5408,14/02/2025,14/02/2025,1209.55,False,SEA,AUH
U27532,11/6/2024,11/6/2024,709.77,False,DXB,BHX
VY4582,12/11/2024,12/11/2024,1007.17,True,FCO,CMB
OS4116,6/9/2023,6/9/2023,714.04,True,ORD,SOF
PC6106,8/3/2024,8/3/2024,1118.3,False,ESB,LAX
VY4173,8/4/2023,8/4/2023,196.59,True,VLC,MRS
SK7467,26/02/2025,26/02/2025,557.37,True,AMS,STN
SK6629,15/01/2024,15/01/2024,93.54,True,AMD,FCO
LO9741,29/11/2024,29/11/2024,617.86,False,SOF,SVO
SK2867,26/01/2024,26/01/2024,947.86,True,IAH,AUH
AZ2556,27/03/2025,27/03/2025,773.21,False,PSA,DOH
EK5032,16/02/2025,16/02/2025,476.71,False,ARN,FCO
IB758,4/8/2023,4/8/2023,664.16,False,NCE,MAD
U26611,17/09/2023,17/09/2023,366.81,True,OPO,ZRH
FR5566,20/07/2024,20/07/2024,664.03,False,DUS,IST
AF814,2/1/2024,2/1/2024,966.73,True,DFW,GVA
U29593,9/6/2023,9/6/2023,569.44,False,ICN,LIN
SK1102,17/08/2024,17/08/2024,1086.68,False,SEA,LHR
SN1485,9/9/2024,9/9/2024,1226.58,True,DUS,LED
SN6977,1/10/2024,1/10/2024,900.08,False,MEL,AUH
SK9618,19/10/2023,19/10/2023,206.71,False,MXP,DUB
OS853,29/03/2024,29/03/2024,1140.81,False,LIN,ORD
EW7587,28/03/2023,28/03/2023,1271.15,True,SIN,CDG
KL4458,29/10/2024,29/10/2024,1219.71,False,OSL,SVO
EW8445,16/09/2024,16/09/2024,106.99,True,MXP,SOF
SK4263,21/03/2025,21/03/2025,642.21,False,LAX,NCE
EK1051,16/02/2023,16/02/2023,980.2,False,MAD,HEL
AZ7131,4/5/2024,4/5/2024,115.49,False,CPH,GRU
VY7960,23/10/2023,23/10/2023,942.3,True,YYZ,LGW
IB8548,5/5/2024,5/5/2024,1186.36,True,MAD,MEL
EW8226,25/10/2024,25/10/2024,361.41,False,STN,VCE
EW2480,29/01/2025,29/01/2025,1212.01,True,GRU,MEL
SK3083,18/12/2024,18/12/2024,412.89,True,SYD,MAN
TK8408,10/11/2024,10/11/2024,1251.51,False,SIN,VCE
VY2699,11/8/2023,11/8/2023,290.4,True,BGY,SYD
SK1435,5/2/2023,5/2/2023,116.49,False,FCO,HKG
BA7609,24/06/2023,24/06/2023,328.13,False,EDI,VLC
KL3429,23/03/2023,23/03/2023,1017.73,True,BRU,MXP
OS8539,19/12/2023,19/12/2023,940.24,True,SOF,CPH
SN5461,7/3/2024,7/3/2024,237.64,False,BGY,HEL
VY9558,21/05/2024,21/05/2024,653.17,False,SCL,ARN
QR7245,19/02/2024,19/02/2024,1169.6,False,YYZ,CMB
PC7921,23/04/2023,23/04/2023,73.12,False,MUC,JFK
IB1172,28/06/2023,28/06/2023,1147.94,True,GRU,CPH
TK6378,4/12/2023,4/12/2023,218.76,False,YVR,DUS
U29759,24/07/2023,24/07/2023,1260.58,False,ESB,BHX
SK6993,9/10/2024,9/10/2024,1256.81,False,WAW,ARN
BA7081,14/10/2023,14/10/2023,1181.75,True,ZRH,FCO
EK1152,13/03/2023,13/03/2023,411.52,False,CDG,BGY
EW2945,2/9/2024,2/9/2024,664.88,True,ZRH,ARN
QR9595,26/04/2023,26/04/2023,818.52,False,VCE,BUD
LO1778,20/01/2023,20/01/2023,602.19,False,VCE,AUH
IB3247,16/02/2023,16/02/2023,43.29,True,AGP,MAD
EW5260,2/7/2023,2/7/2023,1044.91,True,SYD,SIN
LO6412,16/02/2023,16/02/2023,824.19,True,LIN,MIA
W63415,20/04/2024,20/04/2024,914.05,True,YYZ,LAX
OS2485,15/08/2023,15/08/2023,288.23,False,ZRH,MIA
TK528,16/12/2024,16/12/2024,345.32,False,DUB,ICN
QR5285,14/03/2024,14/03/2024,167.47,False,FCO,HEL
BA3173,12/6/2023,12/6/2023,1200.25,False,ICN,CTA
W68191,27/05/2024,27/05/2024,451.66,True,CPH,EDI
EW2603,29/08/2023,29/08/2023,931.83,True,NCE,ZRH
IB2645,6/6/2023,6/6/2023,793.4,True,LED,BCN
SN1161,31/07/2024,31/07/2024,966.16,False,SIN,MAN
VY8940,7/9/2023,7/9/2023,769.75,True,ORD,SEA
EW175,28/01/2023,28/01/2023,55.3,True,SOF,IST
